accountType|accountNumber|seniorAccountNumber|invoice_no|bill_date|debit|credit
A2|43172014|43172013|827489829|2017-04-19|0|0
A2|43172014|43172013|849966500|2017-05-19|0|0
A2|41282493|41282492|827487254|2017-04-19|0|0
A2|41282493|41282492|849963905|2017-05-19|0|0
A3|43172015|43172014|866622230|2017-06-05|4.59|4.59
A3|43172015|43172014|866702420|2017-06-05|9.3|9.3
A3|43172015|43172014|866703415|2017-06-05|9.3|9.3
A3|43172015|43172014|866704205|2017-06-05|9.3|9.3
A3|43172015|43172014|866704955|2017-06-05|9.3|9.3
A3|43172015|43172014|866705787|2017-06-05|9.3|9.3
A3|43172015|43172014|866706639|2017-06-05|9.3|9.3
A3|43172015|43172014|866707301|2017-06-05|9.3|9.3
A3|43172015|43172014|866708164|2017-06-05|9.3|9.3
A3|43172015|43172014|867739906|2017-06-06|5.08|5.08
A3|43172015|43172014|868407867|2017-06-07|9.6|9.6
A3|43172015|43172014|868410133|2017-06-07|9.6|9.6
A3|43172015|43172014|868412288|2017-06-07|9.6|9.6
A3|43172015|43172014|868414366|2017-06-07|9.6|9.6
A3|43172015|43172014|868416499|2017-06-07|9.6|9.6
A3|43172015|43172014|868418381|2017-06-07|9.6|9.6
A3|43172015|43172014|868420303|2017-06-07|9.6|9.6
A3|43172015|43172014|868422119|2017-06-07|9.6|9.6
A3|43172015|43172014|868424229|2017-06-07|9.6|9.6
A3|43172015|43172014|869070838|2017-06-08|9.6|9.6
A3|43172015|43172014|869075172|2017-06-08|9.6|9.6
A3|43172015|43172014|869078851|2017-06-08|9.6|9.6
A3|43172015|43172014|869084205|2017-06-08|9.6|9.6
A3|43172015|43172014|869087316|2017-06-08|9.6|9.6
A3|43172015|43172014|869090848|2017-06-08|9.6|9.6
A3|43172015|43172014|869094990|2017-06-08|9.6|9.6
A3|43172015|43172014|869099717|2017-06-08|9.6|9.6
A3|43172015|43172014|869104716|2017-06-08|9.6|9.6
A3|43172015|43172014|869108730|2017-06-08|100|100
A3|43172015|43172014|869123524|2017-06-08|9.6|9.6
A3|43172015|43172014|869128812|2017-06-08|9.6|9.6
A3|43172015|43172014|869133340|2017-06-08|9.6|9.6
A3|43172015|43172014|869337971|2017-06-08|6.56|6.56
A3|43172015|43172014|869914473|2017-06-09|9.6|9.6
A3|43172015|43172014|870190705|2017-06-09|3.74|3.74
A3|43172015|43172014|870254094|2017-06-09|4.59|4.59
A3|43172015|43172014|870343693|2017-06-09|3.6|3.6
A3|43172015|43172014|870346532|2017-06-09|2.77|2.77
A3|43171002|43171001|866657149|2017-06-05|6.52|6.52
A3|43171002|43171001|866658329|2017-06-05|6.52|6.52
A3|43171002|43171001|866659699|2017-06-05|7.86|7.86
A3|43171002|43171001|866661375|2017-06-05|6.61|6.61
A3|43171002|43171001|866662546|2017-06-05|5.95|5.95
A3|43171002|43171001|866663765|2017-06-05|6.61|6.61
A3|43171002|43171001|866665442|2017-06-05|5.95|5.95
A3|43171002|43171001|866666517|2017-06-05|5.95|5.95
A3|43171002|43171001|866667649|2017-06-05|6.52|6.52
A3|43171002|43171001|866669046|2017-06-05|6.52|6.52
A3|43171002|43171001|866675317|2017-06-05|6.61|6.61
A3|43171002|43171001|866677411|2017-06-05|6.52|6.52
A3|43171002|43171001|866691860|2017-06-05|6.52|6.52
A3|43171002|43171001|866692300|2017-06-05|6.52|6.52
A3|43171002|43171001|867308851|2017-06-06|6.52|6.52
A3|43171002|43171001|867313027|2017-06-06|6.61|6.61
A3|43171002|43171001|867317950|2017-06-06|6.52|6.52
A3|43171002|43171001|867377245|2017-06-06|6.52|6.52
A3|43171002|43171001|867380501|2017-06-06|6.61|6.61
A3|43171002|43171001|867563439|2017-06-06|6.52|6.52
A3|43171002|43171001|869155046|2017-06-08|6.61|6.61
A3|43171002|43171001|869979571|2017-06-09|6.52|6.52
A3|43171002|43171001|869984767|2017-06-09|6.52|6.52
A3|43171002|43171001|869988395|2017-06-09|5.95|5.95
A3|43171002|43171001|869991144|2017-06-09|5.95|5.95
A3|43171002|43171001|869994395|2017-06-09|6.61|6.61
A3|43171002|43171001|869997906|2017-06-09|6.52|6.52
A3|43171002|43171001|870139964|2017-06-09|5.95|5.95
A3|43171002|43171001|870144816|2017-06-09|5.95|5.95
A3|43171002|43171001|872600969|2017-06-12|6.61|6.61
A3|43171002|43171001|872605257|2017-06-12|6.61|6.61
A3|43171002|43171001|872613399|2017-06-12|5.95|5.95
A3|43171002|43171001|872616871|2017-06-12|6.61|6.61
A3|43171002|43171001|872623119|2017-06-12|5.95|5.95
A3|43171002|43171001|872626764|2017-06-12|6.52|6.52
A3|43171002|43171001|872630518|2017-06-12|6.61|6.61
A3|43171002|43171001|872633519|2017-06-12|5.95|5.95
A3|43171002|43171001|872638509|2017-06-12|6.52|6.52
A3|43171002|43171001|872646704|2017-06-12|6.52|6.52
A3|43171002|43171001|872654368|2017-06-12|5.95|5.95
A3|43171002|43171001|872657478|2017-06-12|6.46|6.46
A2|42328988|42328987|832156658|2017-04-28|0|0
A2|42328988|42328987|858705282|2017-05-28|0|0
A3|42328989|42328988|868607773|2017-06-07|21.18|21.18
A3|42328989|42328988|869534313|2017-06-08|3.74|3.74
A3|42328989|42328988|872759471|2017-06-12|21.18|21.18
A2|43175108|43175106|827489884|2017-04-19|0|0
A2|43175108|43175106|849966535|2017-05-19|0|0
A2|41283080|41283079|827487317|2017-04-19|0|0
A2|41283080|41283079|849963991|2017-05-19|0|0
A2|42883693|42883690|833118589|2017-05-01|0|0
A2|42883693|42883690|862436003|2017-06-01|0|0
A2|41283156|41283155|827487328|2017-04-19|0|0
A2|41283156|41283155|849963999|2017-05-19|0|0
A2|42329644|42329643|832156793|2017-04-28|0|0
A2|42329644|42329643|858705384|2017-05-28|0|0
A2|41283684|41283682|827487365|2017-04-19|0|0
A2|41283684|41283682|849964048|2017-05-19|0|0
A2|42329909|42329908|832156867|2017-04-28|0|0
A2|42329909|42329908|858705446|2017-05-28|0|0
A2|42329933|42329932|832156879|2017-04-28|0|0
A2|42329933|42329932|858705457|2017-05-28|0|0
A2|41284335|41284334|827487646|2017-04-19|0|0
A2|41284335|41284334|849964364|2017-05-19|0|0
A2|41284014|41058030|827487487|2017-04-19|0|0
A2|41284014|41058030|849964195|2017-05-19|0|0
A3|42893155|42893154|869536728|2017-06-08|14.9|14.9
A3|42893155|42893154|869536885|2017-06-08|14.9|14.9
A3|42893155|42893154|869537081|2017-06-08|9.99|9.99
A3|42893155|42893154|869537199|2017-06-08|10.28|10.28
A3|42893155|42893154|869537820|2017-06-08|7.86|7.86
A3|42893155|42893154|869537979|2017-06-08|14.9|14.9
A3|42893155|42893154|870385695|2017-06-09|9.99|9.99
