Acct,status
39464241,-99
39894535,1
40564563,-99
40823675,-99
40828104,1
40828119,1
40906413,-99
40906550,1
40916047,-99
40916573,-99
40916598,1
40918163,-99
40918367,-99
40918670,-99
40919178,-99
40919360,-99
40919809,-99
40922899,-99
40925282,-99
40925903,-99
40930760,1
40930861,-99
40931766,-99
40931947,-99
40932539,1
40935280,-99
40941741,-1
40944193,-99
40944267,1
40944469,-99
40944661,-99
40944835,-99
40944995,1
40946076,-99
40946408,1
40946619,-99
40947042,-99
40947458,1
40950340,1
40951436,1
40954228,-99
40957045,-99
40958890,1
40960394,-3
40961821,1
40961854,1
40962535,-2
40962702,1
40966307,-99
40977836,-99
41001089,-99
41001257,-1
41011753,1
41013315,-99
41013558,-99
41017753,-99
41017829,-1
41018298,-99
41019612,-99
41021638,-99
41027811,1
41028143,1
41028339,1
41028467,-2
41028962,-99
41030036,1
41031430,1
41031608,-99
41031644,-99
41031772,-2
41032361,-99
41032843,-99
41033138,-3
41034075,-3
41039801,-99
41043100,1
41044189,1
41045748,-99
41046047,1
41047726,-99
41048249,-99
41052435,-99
41057301,-99
41057814,-2
41057845,1
41057880,-3
41058165,-99
41058169,1
41058323,1
41058780,1
41059224,1
41059895,-99
41060721,1
41061088,1
41061954,1
41062360,-99
41065284,-99
41068640,-99
41069550,-99
41069944,-99
41070995,-3
41075506,-99
41075734,-99
41078033,-99
41084178,-99
41084187,-99
41084722,-99
41105698,1
41113778,-99
41116905,-99
41117503,-99
41119173,-99
41120382,-99
41121835,-99
41122747,1
41125272,-99
41130327,-3
41133590,-99
41134323,1
41134371,-99
41137304,1
41143477,-99
41143936,-99
41146128,-99
41154694,-99
41160956,-99
41161039,-99
41162379,1
41163476,-99
41164152,-99
41164505,-99
41164830,-99
41164997,-99
41165250,-99
41166015,1
41170665,1
41174193,-99
41175200,-99
41175298,1
41175357,-99
41175381,1
41175855,1
41176578,-99
41177176,1
41177805,-99
41178241,-3
41178936,1
41179648,-99
41179974,-99
41184581,-99
41186532,1
41187581,-99
41187787,1
41188303,1
41190602,-99
41191282,-99
41191829,-99
41192567,1
41194528,-99
41194834,-99
41199629,-99
41200113,-2
41205066,-99
41205953,-99
41209798,-99
41212844,-2
41219807,-99
41226793,1
41231250,-99
41237977,1
41238153,-99
41240061,-99
41240895,1
41241386,-99
41241424,1
41253270,-2
41253788,-99
41254299,1
41255141,1
41255201,-2
41255584,1
41256015,-99
41256146,1
41256620,1
41257504,-99
41265008,-99
41266376,-99
41266402,-99
41266421,-99
41268020,1
41268653,1
41269148,-99
41269473,-2
41269968,-99
41271767,1
41274158,-99
41275728,-99
41278810,-99
41279610,-99
41281174,-99
41282242,-99
41282864,-99
41283727,1
41284192,-99
41284299,1
41284622,1
41284626,1
41285113,-3
41285777,-99
41285897,-99
41286220,1
41286917,-99
41287561,1
41288078,1
41289075,1
41293702,1
41294213,-99
41296269,-99
41296419,1
41297623,-99
41297953,-99
41301355,1
41304172,1
41316445,-99
41323295,-99
41330141,1
41334600,-99
41339447,-99
41343491,1
41343573,-99
41344103,1
41344750,-99
41345313,-99
41346222,-2
41346300,-99
41346320,-99
41347011,-99
41347103,1
41347137,1
41347610,1
41348431,1
41349155,-2
41356335,1
41356906,-99
41357245,-99
41357321,1
41357898,-3
41358339,-99
