Acct,Acct_status,clientPID,PlanStatus,Active_date,Term_date
49460142,-2,HZ_MultiCarrier_Addon,2,11/3/17,None
49460142,-2,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49460185,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49460185,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49460367,-1,HZ_MultiCarrier_Addon,1,11/3/17,None
49460367,-1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49460828,-2,HZ_MultiCarrier_Addon,2,11/3/17,None
49460828,-2,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49460949,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49460949,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49461085,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49461085,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49461133,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49461133,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49461329,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49461329,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49461946,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49461946,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49461993,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49461993,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49462640,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49462640,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49463788,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49463788,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49464662,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49464662,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49464852,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49464852,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49465925,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49465925,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
