Acct,clientPID,PlanStatus,Active_date,Term_date
39464241,10069454,None,None,None
39464241,Horizon_Beta_-_Free_Plan,-1,2016-02-01,2016-03-30
39464241,40_Seat_Postal_App_-_HZ,-1,2016-02-01,2016-03-30
39464241,HZ_Postal_App_Plan,1,2017-04-05,None
39464241,HZ_MultiCarrier_Addon,-1,2016-07-01,2017-04-05
39464241,HZ_MultiCarrier,1,2017-04-05,None
39464241,HZ_MultiCarrier_Addon_Trial,3,2016-03-30,2018-01-26
39464241,HZ_50_Users_Addon,-1,2016-07-01,2017-04-05
39464241,HZ_50_Users,1,2017-04-05,None
39464241,HZ_50_Users_Addon_Trial,3,2016-03-30,2017-10-05
39464241,HZ_Mailing_NonLease,1,2017-04-05,None
39894535,10069454,None,None,None
39894535,Horizon_Beta_-_Free_Plan,1,2016-02-22,None
39894535,40_Seat_Postal_App_-_HZ,1,2016-02-22,None
39894535,HZ_Postal_App_Plan,1,2016-12-22,None
39894535,HZ_MultiCarrier_Addon,-1,2017-04-26,2017-06-01
39894535,HZ_MultiCarrier,1,2016-12-22,None
39894535,HZ_Mailing,1,2016-12-22,None
39894535,HZ_CSDSR_Plan,-1,2017-06-01,2017-07-19
39894535,HZ_PBSP_Migration_Plan,1,2017-09-15,None
40564563,10069454,None,None,None
40564563,HZ_Postal_App_Plan,1,2016-04-02,None
40564563,HZ_MultiCarrier_Addon,1,2016-07-02,None
40564563,HZ_MultiCarrier_Addon_Trial,3,2016-04-02,2018-01-26
40564563,HZ_1_Users,1,2016-04-02,None
40564563,HZ_50_Users_Addon,1,2016-07-02,None
40564563,HZ_50_Users_Addon_Trial,3,2016-04-02,2017-10-05
40564563,HZ_Web_Browser_Integration,1,2016-04-02,None
40564563,HZ_Mailing_NonLease,1,2017-01-23,None
40823675,10069454,None,None,None
40823675,HZ_Postal_App_Plan,1,2016-04-20,None
40823675,HZ_MultiCarrier_Addon,2,2016-07-20,None
40823675,HZ_MultiCarrier_Addon_Trial,3,2016-04-20,2018-01-26
40823675,HZ_50_Users_Addon,2,2016-07-20,None
40823675,HZ_50_Users_Addon_Trial,3,2016-04-20,2017-10-05
40823675,HZ_Mailing_NonLease,1,2017-01-23,None
40828104,10069454,None,None,None
40828104,HZ_Postal_App_Plan,1,2016-04-20,None
40828104,HZ_MultiCarrier_Addon,1,2016-07-20,None
40828104,HZ_MultiCarrier_Addon_Trial,3,2016-04-20,2018-01-26
40828104,HZ_1_Users,1,2016-04-20,None
40828104,HZ_Web_Browser_Integration,1,2016-04-20,None
40828104,HZ_US_Market,1,2016-04-20,None
40828104,HZ_Mailing_NonLease,1,2017-01-23,None
40828119,10069454,None,None,None
40828119,HZ_Postal_App_Plan,1,2016-04-20,None
40828119,HZ_MultiCarrier_Addon,1,2016-07-20,None
40828119,HZ_MultiCarrier_Addon_Trial,3,2016-04-20,2018-01-26
40828119,HZ_1_Users,1,2016-04-20,None
40828119,HZ_Web_Browser_Integration,1,2016-04-20,None
40828119,HZ_US_Market,1,2016-04-20,None
40828119,HZ_Mailing_NonLease,1,2017-01-23,None
40906413,10069454,None,None,None
40906413,HZ_Postal_App_Plan,-1,2017-01-20,2017-01-20
40906413,HZ_MultiCarrier_Addon,-1,2017-01-20,2017-01-20
40906413,HZ_Employee_Plan,1,2017-01-20,None
40906550,10069454,None,None,None
40906550,HZ_Postal_App_Plan,1,2016-04-25,None
40906550,HZ_MultiCarrier_Addon,1,2016-07-25,None
40906550,HZ_MultiCarrier_Addon_Trial,3,2016-04-25,2018-01-26
40906550,HZ_1_Users,1,2016-04-25,None
40906550,HZ_Web_Browser_Integration,1,2016-04-25,None
40906550,HZ_US_Market,1,2016-04-25,None
40906550,HZ_Mailing_NonLease,1,2017-01-23,None
40916047,10069454,None,None,None
40916047,HZ_Postal_App_Plan,1,2016-04-26,None
40916047,HZ_MultiCarrier_Addon,1,2016-07-26,None
40916047,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40916047,HZ_Mailing_NonLease,1,2017-01-23,None
40916573,10069454,None,None,None
40916573,HZ_Postal_App_Plan,1,2016-04-26,None
40916573,HZ_MultiCarrier_Addon,1,2016-07-26,None
40916573,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40916573,HZ_Mailing_NonLease,1,2017-01-23,None
40916598,10069454,None,None,None
40916598,HZ_Postal_App_Plan,1,2016-04-26,None
40916598,HZ_MultiCarrier_Addon,1,2016-07-26,None
40916598,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40916598,HZ_Mailing_NonLease,1,2017-01-23,None
40918163,10069454,None,None,None
40918163,HZ_Postal_App_Plan,1,2016-04-26,None
40918163,HZ_MultiCarrier_Addon,1,2016-07-26,None
40918163,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40918163,HZ_1_Users,1,2016-04-26,None
40918163,HZ_Web_Browser_Integration,1,2016-04-26,None
40918163,HZ_US_Market,1,2016-04-26,None
40918163,HZ_Mailing_NonLease,1,2017-01-23,None
40918367,10069454,None,None,None
40918367,HZ_Postal_App_Plan,1,2016-04-26,None
40918367,HZ_MultiCarrier_Addon,1,2016-07-26,None
40918367,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40918367,HZ_Mailing_NonLease,1,2017-01-23,None
40918670,10069454,None,None,None
40918670,HZ_Postal_App_Plan,1,2016-04-26,None
40918670,HZ_MultiCarrier_Addon,1,2016-07-26,None
40918670,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40918670,HZ_Mailing_NonLease,1,2017-01-23,None
40919178,10069454,None,None,None
40919178,HZ_Postal_App_Plan,1,2016-04-26,None
40919178,HZ_MultiCarrier_Addon,1,2016-07-26,None
40919178,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40919178,HZ_Mailing_NonLease,1,2017-01-23,None
40919360,10069454,None,None,None
40919360,HZ_Postal_App_Plan,1,2016-04-26,None
40919360,HZ_MultiCarrier_Addon,2,2016-07-26,None
40919360,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40919360,HZ_Mailing_NonLease,1,2017-01-23,None
40919809,10069454,None,None,None
40919809,HZ_Postal_App_Plan,1,2016-04-26,None
40919809,HZ_MultiCarrier_Addon,1,2016-07-26,None
40919809,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40919809,HZ_Mailing_NonLease,1,2017-01-23,None
40922899,10069454,None,None,None
40922899,HZ_Postal_App_Plan,1,2016-04-26,None
40922899,HZ_MultiCarrier_Addon,1,2016-07-26,None
40922899,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40922899,HZ_Mailing_NonLease,1,2017-01-23,None
40925282,10069454,None,None,None
40925282,HZ_Postal_App_Plan,1,2016-04-26,None
40925282,HZ_MultiCarrier_Addon,1,2016-07-26,None
40925282,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40925282,HZ_Mailing_NonLease,1,2017-01-23,None
40925903,10069454,None,None,None
40925903,HZ_Postal_App_Plan,1,2016-04-26,None
40925903,HZ_MultiCarrier_Addon,1,2016-07-26,None
40925903,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
