Acct,junk
39464241,0
39894535,0
40564563,0
40823675,0
40828104,0
40828119,0
40906413,0
40906550,0
40916047,0
40916573,0
40916598,0
40918163,0
40918367,0
40918670,0
40919178,0
40919360,0
40919809,0
40922899,0
40925282,0
40925903,0
40930760,0
40930861,0
40931766,0
40931947,0
40932539,0
40935280,0
40941741,0
40944193,0
40944267,0
40944469,0
40944661,0
40944835,0
40944995,0
40946076,0
40946408,0
40946619,0
40947042,0
40947458,0
40950340,0
40951436,0
40954228,0
40957045,0
40958890,0
40960394,0
40961821,0
40961854,0
40962535,0
40962702,0
40966307,0
40977836,0
41001089,0
41001257,0
41011753,0
41013315,0
41013558,0
41017753,0
41017829,0
41018298,0
41019612,0
41021638,0
41027811,0
41028143,0
41028339,0
41028467,0
41028962,0
41030036,0
41031430,0
41031608,0
41031644,0
41031772,0
41032361,0
41032843,0
41033138,0
41034075,0
41039801,0
41043100,0
41044189,0
41045748,0
41046047,0
41047726,0
41048249,0
41052435,0
41057301,0
41057814,0
41057845,0
41057880,0
41058165,0
41058169,0
41058323,0
41058780,0
41059224,0
41059895,0
41060721,0
41061088,0
41061954,0
41062360,0
41065284,0
41068640,0
41069550,0
41069944,0
41070995,0
41075506,0
41075734,0
41078033,0
41084178,0
41084187,0
41084722,0
41105698,0
41113778,0
41116905,0
41117503,0
41119173,0
41120382,0
41121835,0
41122747,0
41125272,0
41130327,0
41133590,0
41134323,0
41134371,0
41137304,0
41143477,0
41143936,0
41146128,0
41154694,0
41160956,0
41161039,0
41162379,0
41163476,0
41164152,0
41164505,0
41164830,0
41164997,0
41165250,0
41166015,0
41170665,0
41174193,0
41175200,0
41175298,0
41175357,0
41175381,0
41175855,0
41176578,0
41177176,0
41177805,0
41178241,0
41178936,0
41179648,0
41179974,0
41184581,0
41186532,0
41187581,0
41187787,0
41188303,0
41190602,0
41191282,0
41191829,0
41192567,0
41194528,0
41194834,0
41199629,0
41200113,0
41205066,0
41205953,0
41209798,0
41212844,0
41219807,0
41226793,0
41231250,0
41237977,0
41238153,0
41240061,0
41240895,0
41241386,0
41241424,0
41253270,0
41253788,0
41254299,0
41255141,0
41255201,0
41255584,0
41256015,0
41256146,0
41256620,0
41257504,0
41265008,0
41266376,0
41266402,0
41266421,0
41268020,0
41268653,0
41269148,0
41269473,0
41269968,0
41271767,0
41274158,0
41275728,0
41278810,0
41279610,0
41281174,0
41282242,0
41282864,0
41283727,0
41284192,0
41284299,0
41284622,0
41284626,0
41285113,0
41285777,0
41285897,0
41286220,0
41286917,0
41287561,0
41288078,0
41289075,0
41293702,0
41294213,0
41296269,0
41296419,0
41297623,0
41297953,0
41301355,0
41304172,0
41316445,0
41323295,0
41330141,0
41334600,0
41339447,0
41343491,0
41343573,0
41344103,0
41344750,0
41345313,0
41346222,0
41346300,0
41346320,0
41347011,0
41347103,0
41347137,0
41347610,0
41348431,0
41349155,0
41356335,0
41356906,0
41357245,0
41357321,0
41357898,0
41358339,0
41358385,0
41358760,0
41358775,0
41359339,0
41359587,0
41359928,0
41360239,0
41360650,0
41361315,0
41361476,0
41361541,0
41362263,0
41367012,0
41368576,0
41370018,0
41370066,0
41370405,0
41371112,0
41373444,0
41373751,0
41383864,0
41384844,0
41385146,0
41385360,0
41385433,0
41386717,0
41388284,0
41390340,0
41394333,0
41395752,0
41396456,0
41396466,0
41396971,0
41397281,0
41415053,0
41419473,0
41422716,0
41424957,0
41438575,0
41440593,0
41456665,0
41457130,0
41457429,0
41458552,0
41459592,0
41459679,0
41459787,0
41460358,0
41471194,0
41471280,0
41472696,0
41472864,0
41473767,0
41474217,0
41477484,0
41478407,0
41478615,0
41484011,0
41484161,0
41485221,0
41485828,0
41486785,0
41486983,0
41498504,0
41498703,0
41499530,0
41499778,0
41504701,0
41509517,0
41538789,0
41545953,0
41545967,0
41546310,0
41550036,0
41551264,0
41551326,0
41551403,0
41552874,0
41559446,0
41561191,0
41561258,0
41561578,0
41561634,0
41562176,0
41562858,0
41568925,0
41569859,0
41573632,0
41573899,0
41575472,0
41575477,0
41577236,0
41586366,0
41587705,0
41587728,0
41587866,0
41589929,0
41591874,0
41592298,0
41595599,0
41598749,0
41600859,0
41601697,0
41601897,0
41602261,0
41604269,0
41606595,0
41614069,0
41614107,0
41618732,0
41621758,0
41626827,0
41638327,0
41648592,0
41651629,0
41653054,0
41653820,0
41654612,0
41658271,0
41663865,0
41664658,0
41665998,0
41668074,0
41668325,0
41668507,0
41669214,0
41672961,0
41673861,0
41678433,0
41679916,0
41682337,0
41682909,0
41686514,0
41688248,0
41689846,0
41692981,0
41695338,0
41696238,0
41696360,0
41696935,0
41697087,0
41697968,0
41698465,0
41698535,0
41698576,0
41698867,0
41699036,0
41699444,0
41700226,0
41708993,0
41710185,0
41710229,0
41713613,0
41715109,0
41719237,0
41725284,0
41750459,0
41762203,0
41763809,0
41764657,0
41766692,0
41769274,0
41779817,0
41780089,0
41780407,0
41781300,0
41781327,0
41789042,0
41791186,0
41791351,0
41792736,0
41792748,0
41793726,0
41794562,0
41795411,0
41795806,0
41796138,0
41797892,0
41799157,0
41804796,0
41806618,0
41806948,0
41807777,0
41807989,0
41808114,0
41808590,0
41808886,0
41812121,0
41814484,0
41816842,0
41819499,0
41821129,0
41825469,0
41834414,0
41834904,0
41835039,0
41843130,0
41846877,0
41848904,0
41851193,0
41856414,0
41863569,0
41864949,0
41866288,0
41870098,0
41876676,0
41878042,0
41878183,0
41878376,0
41879034,0
41879207,0
41879837,0
41882590,0
41889211,0
41890597,0
41892912,0
41893040,0
41899557,0
41900185,0
41900192,0
41901733,0
41904052,0
41904657,0
41905601,0
41906039,0
41906704,0
41907153,0
41913245,0
41915199,0
41916496,0
41917197,0
41919174,0
41920941,0
41921405,0
41925988,0
41930350,0
41934199,0
41934970,0
41936437,0
41957779,0
41968294,0
41972655,0
41973752,0
41978925,0
41982210,0
41988499,0
41994480,0
41995644,0
41996215,0
41996992,0
41998534,0
41999369,0
41999491,0
42003561,0
42003566,0
42009352,0
42009741,0
42011018,0
42012690,0
42015006,0
42021945,0
42022226,0
42024172,0
42024275,0
42026220,0
42026494,0
42026689,0
42037014,0
42037656,0
42038600,0
42044222,0
42045817,0
42052352,0
42053515,0
42056917,0
42056947,0
42067297,0
42069812,0
42069945,0
42070072,0
42071520,0
42071882,0
42072544,0
42072898,0
42073925,0
42075388,0
42075771,0
42080653,0
42081862,0
42082418,0
42082474,0
42083298,0
42083467,0
42084021,0
42085159,0
42086349,0
42086927,0
42087415,0
42093282,0
42093481,0
42094922,0
42095367,0
42095728,0
42096477,0
42097016,0
42097260,0
42097522,0
42097775,0
42099357,0
42102222,0
42103496,0
42109205,0
42109457,0
42109500,0
42110186,0
42110319,0
42110569,0
42112846,0
42113274,0
42116379,0
42124003,0
42124550,0
42127135,0
42127432,0
42128108,0
42130614,0
42165914,0
42167949,0
42170087,0
42171210,0
42171261,0
42175487,0
42177899,0
42185013,0
42185918,0
42186661,0
42187642,0
42187807,0
42189466,0
42196062,0
42198873,0
42199337,0
42199397,0
42204370,0
42212867,0
42213496,0
42213735,0
42213788,0
42214601,0
42229075,0
42229477,0
42229862,0
42230779,0
42231088,0
42232501,0
42233284,0
42236836,0
42242941,0
42243034,0
42244597,0
42244678,0
42252578,0
42255120,0
42267141,0
42269188,0
42277663,0
42278080,0
42278578,0
42281276,0
42282338,0
42286864,0
42288503,0
42290723,0
42294248,0
42295259,0
42295306,0
42295486,0
42296510,0
42297326,0
42297977,0
42298673,0
42298930,0
42299388,0
42300340,0
42301491,0
42303370,0
42305774,0
42309762,0
42311237,0
42313301,0
42315174,0
42315828,0
42323042,0
42324614,0
42325915,0
42326347,0
42330813,0
42337491,0
42337957,0
42338238,0
42338430,0
42341608,0
42346316,0
42348029,0
42352545,0
42353075,0
42355126,0
42355529,0
42362518,0
42371328,0
42373877,0
42384585,0
42386928,0
42387525,0
42387696,0
42388413,0
42393498,0
42397542,0
42405103,0
42406545,0
42407359,0
42409199,0
42411631,0
42416680,0
42418012,0
42418433,0
42419400,0
42420739,0
42421753,0
42423369,0
42429948,0
42432827,0
42433056,0
42435795,0
42445049,0
42446323,0
42447304,0
42448502,0
42456874,0
42461151,0
42473502,0
42485043,0
42494263,0
42495728,0
42496272,0
42496519,0
42496680,0
42498367,0
42498592,0
42500645,0
42502122,0
42503341,0
42508170,0
42508843,0
42508879,0
42508922,0
42509784,0
42511195,0
42511300,0
42511723,0
